OrderID,CustomerName,PhoneNumber,Location,Country,StoreCode,Product,Quantity,Price,Date,CreditCardNumber,ExpiryDate
QYONER,Alice Smith,+1 616-442-7498,Houston,Australia,ST163,Headphones,7,183.31,28-04-2020,5676 8888 7887 6476,Nov-30
MSYOAB,Alice Smith,+1 808-500-6927,Houston,Australia,ST155,Tablet,6,792.15,19-12-2022,5676 8888 7887 1946,Oct-30
LSMOVN,Alice Smith,+1 530-773-2631,New York,Australia,ST192,Phone,8,595.55,19-01-2021,5676 8888 7887 9226,Jan-27
WVHPTU,Robert Johnson,+1 283-449-6510,Chicago,UK,ST157,Headphones,8,637.8,05-02-2020,5676 8888 7887 7237,May-23
MXLPTM,Alice Smith,+1 289-951-6678,Los Angeles,Canada,ST060,Laptop,8,227.97,18-05-2022,5676 8888 7887 7537,Oct-24
BCVKQK,Robert Johnson,+1 789-538-1005,Los Angeles,Australia,ST075,Tablet,10,278.69,24-05-2022,5676 8888 7887 5727,Nov-27
JZSJXC,Robert Johnson,+1 476-411-5876,New York,Australia,ST168,Tablet,7,928.85,06-03-2022,5676 8888 7887 4496,Nov-30
ETSOIO,John Doe,+1 601-564-1871,New York,USA,ST157,Laptop,10,245.64,15-07-2021,5676 8888 7887 3288,Mar-30
KHWZMV,Alice Smith,+1 724-452-9712,Chicago,USA,ST037,Laptop,4,839.47,23-07-2021,5676 8888 7887 6911,Dec-25
SVWHJS,Robert Johnson,+1 603-187-4497,Houston,USA,ST132,Phone,6,888.01,22-12-2020,5676 8888 7887 3880,May-29
PILEFL,Alice Smith,+1 637-159-1129,Chicago,Canada,ST071,Tablet,2,952.15,08-12-2020,5676 8888 7887 4548,Nov-23
CRQPDQ,Alice Smith,+1 482-131-6898,Los Angeles,Canada,ST124,Laptop,8,257.12,08-07-2020,5676 8888 7887 9253,Feb-29
RNVXMF,Alice Smith,+1 303-933-1843,New York,UK,ST156,Laptop,8,188.34,09-02-2022,5676 8888 7887 7586,Sep-30
YIIKFN,Alice Smith,+1 877-122-3822,Los Angeles,UK,ST034,Laptop,8,575.05,11-02-2022,5676 8888 7887 8096,Apr-27
AGLVJN,Alice Smith,+1 608-659-7848,Los Angeles,UK,ST042,Phone,10,408.62,08-11-2021,5676 8888 7887 3257,Jul-23
ZYLXIT,Alice Smith,+1 270-442-8437,Houston,USA,ST183,Laptop,9,314.29,10-12-2021,5676 8888 7887 6066,Jun-25
KVZCLD,Robert Johnson,+1 753-733-7126,Houston,Australia,ST144,Laptop,2,965.78,22-08-2020,5676 8888 7887 4076,Oct-28
LVZGLX,Robert Johnson,+1 873-866-8763,New York,UK,ST071,Tablet,4,438.86,23-11-2021,5676 8888 7887 8573,May-26
CPLUKY,Alice Smith,+1 657-683-1932,Chicago,USA,ST113,Laptop,1,575.37,12-01-2020,5676 8888 7887 3871,Aug-24
NFCXII,Robert Johnson,+1 784-282-1381,Los Angeles,UK,ST125,Laptop,10,569.95,26-01-2022,5676 8888 7887 5522,Aug-24
DRTYF,Test User1001,+1 657-683-1988,Mumbai,India,IN444,Phone,9,7790000,26-01-2023,4222 8888 6654 8876,Dec-24
ZYLXIT,Alice Smith,+1 270-442-8438,Houston,USA,ST183,Laptop,2,438.86,10-12-2021,5677 8888 7887 6066,Jun-25
KVZCLD,Robert Johnson,+1 753-733-7127,Houston,Australia,ST144,Laptop,5,575.37,22-08-2020,5677 8888 7887 4076,Oct-28
LVZGLX,Robert Johnson,+1 873-866-8764,New York,UK,ST071,Tablet,5,569.95,23-11-2021,5677 8888 7887 8573,May-26
CPLUKY,Alice Smith,+1 657-683-1933,Chicago,USA,ST113,Laptop,10,659.15,12-01-2020,5677 8888 7887 3871,Aug-24
NFCXII,Robert Johnson,+1 784-282-1382,Los Angeles,UK,ST125,Laptop,9,724.695,26-01-2022,5677 8888 7887 5522,Aug-24
DRTYF,Test User1002,+1 657-683-1989,Mumbai,India,IN445,Phone,4,790.24,26-01-2023,4223 8888 6654 8876,Dec-24
ZYLXIT,Alice Smith,+1 270-442-8439,Houston,USA,ST183,Laptop,9,855.785,10-12-2021,5678 8888 7887 6066,Jun-25
KVZCLD,Robert Johnson,+1 753-733-7128,Houston,Australia,ST144,Laptop,8,921.33,22-08-2020,5678 8888 7887 4076,Oct-28
LVZGLX,Robert Johnson,+1 873-866-8765,New York,UK,ST071,Tablet,4,986.875,23-11-2021,5678 8888 7887 8573,May-26
CPLUKY,Alice Smith,+1 657-683-1934,Chicago,USA,ST113,Laptop,7,1052.42,12-01-2020,5678 8888 7887 3871,Aug-24
NFCXII,Robert Johnson,+1 784-282-1383,Los Angeles,UK,ST125,Laptop,41,1117.965,26-01-2022,5678 8888 7887 5522,Aug-24
DRTYF,Test User1003,+1 657-683-1990,Mumbai,India,IN446,Phone,44,1183.51,26-01-2023,4224 8888 6654 8876,Dec-24
ZYLXIT,Alice Smith,+1 270-442-8440,Houston,USA,ST183,Laptop,46,1249.055,10-12-2021,5679 8888 7887 6066,Jun-25
KVZCLD,Robert Johnson,+1 753-733-7129,Houston,Australia,ST144,Laptop,49,1314.6,22-08-2020,5679 8888 7887 4076,Oct-28
LVZGLX,Robert Johnson,+1 873-866-8766,New York,UK,ST071,Tablet,51,1380.145,23-11-2021,5679 8888 7887 8573,May-26
CPLUKY,Alice Smith,+1 657-683-1935,Chicago,USA,ST113,Laptop,53,1445.69,12-01-2020,5679 8888 7887 3871,Aug-24
NFCXII,Robert Johnson,+1 784-282-1384,Los Angeles,UK,ST125,Laptop,56,1511.235,26-01-2022,5679 8888 7887 5522,Aug-24
DRTYF,Test User1004,+1 657-683-1991,Mumbai,India,IN447,Phone,58,1576.78,26-01-2023,4225 8888 6654 8876,Dec-24
ZYLXIT,Alice Smith,+1 270-442-8441,Houston,USA,ST183,Laptop,61,,10-12-2021,5680 8888 7887 6066,Jun-25
KVZCLD,Robert Johnson,+1 753-733-7130,Houston,Australia,ST144,Laptop,63,,22-08-2020,5680 8888 7887 4076,Oct-28
LVZGLX,Robert Johnson,+1 873-866-8767,New York,UK,ST071,Tablet,10,,23-11-2021,5680 8888 7887 8573,May-26
CPLUKY,Alice Smith,+1 657-683-1936,Chicago,USA,ST113,Laptop,9,,12-01-2020,5680 8888 7887 3871,Aug-24
NFCXII,Robert Johnson,+1 784-282-1385,Los Angeles,UK,ST125,Laptop,2,,26-01-2022,5680 8888 7887 5522,Aug-24
DRTYF,Test User1005,+1 657-683-1992,Mumbai,India,IN448,Phone,5,1970.05,26-01-2023,4226 8888 6654 8876,Dec-24
ZYLXIT,Alice Smith,+1 270-442-8442,Houston,USA,ST183,Laptop,5,2035.595,10-12-2021,5681 8888 7887 6066,Jun-25
KVZCLD,Robert Johnson,+1 753-733-7131,Houston,Australia,ST144,Laptop,10,2101.14,22-08-2020,5681 8888 7887 4076,Oct-28
LVZGLX,Robert Johnson,+1 873-866-8768,New York,UK,ST071,Tablet,9,2166.685,23-11-2021,5681 8888 7887 8573,May-26
CPLUKY,Alice Smith,+1 657-683-1937,Chicago,USA,ST113,Laptop,4,2232.23,12-01-2020,5681 8888 7887 3871,Aug-24
NFCXII,Robert Johnson,+1 784-282-1386,Los Angeles,UK,ST125,Laptop,9,2297.775,26-01-2022,5681 8888 7887 5522,Aug-24
DRTYF,Test User1006,+1 657-683-1993,Mumbai,India,IN449,Phone,8,2363.32,26-01-2023,4227 8888 6654 8876,Dec-24
ZYLXIT,Alice Smith,+1 270-442-8443,Houston,USA,ST183,Laptop,4,,10-12-2021,5682 8888 7887 6066,Jun-25
KVZCLD,Robert Johnson,+1 753-733-7132,Houston,Australia,ST144,Laptop,7,,22-08-2020,5682 8888 7887 4076,Oct-28
LVZGLX,Robert Johnson,+1 873-866-8769,New York,UK,ST071,Tablet,95,2559.955,23-11-2021,5682 8888 7887 8573,May-26
CPLUKY,Alice Smith,+1 657-683-1938,Chicago,USA,ST113,Laptop,98,2625.5,12-01-2020,5682 8888 7887 3871,Aug-24
NFCXII,Robert Johnson,+1 784-282-1387,Los Angeles,UK,ST125,Laptop,100,2691.045,26-01-2022,5682 8888 7887 5522,Aug-24
DRTYF,Test User1007,+1 657-683-1994,Mumbai,India,IN450,Phone,103,2756.59,26-01-2023,4228 8888 6654 8876,Dec-24
ZYLXIT,Alice Smith,+1 270-442-8444,Houston,USA,ST183,Laptop,105,2822.135,10-12-2021,5683 8888 7887 6066,Jun-25
KVZCLD,Robert Johnson,+1 753-733-7133,Houston,Australia,ST144,Laptop,108,2887.68,22-08-2020,5683 8888 7887 4076,Oct-28
LVZGLX,Robert Johnson,+1 873-866-8770,New York,UK,ST071,Tablet,110,2953.225,23-11-2021,5683 8888 7887 8573,May-26
CPLUKY,Alice Smith,+1 657-683-1939,Chicago,USA,ST113,Laptop,78,3018.77,12-01-2020,5683 8888 7887 3871,Aug-24
NFCXII,Robert Johnson,+1 784-282-1388,Los Angeles,UK,ST125,Laptop,65,3084.315,26-01-2022,5683 8888 7887 5522,Aug-24
DRTYF,Test User1008,+1 657-683-1995,Mumbai,India,IN451,Phone,117,3149.86,26-01-2023,4229 8888 6654 8876,Dec-24
ZYLXIT,Alice Smith,+1 270-442-8445,Houston,USA,ST183,Laptop,120,3215.405,10-12-2021,5684 8888 7887 6066,Jun-25
KVZCLD,Robert Johnson,+1 753-733-7134,Houston,Australia,ST144,Laptop,122,3280.95,22-08-2020,5684 8888 7887 4076,Oct-28
LVZGLX,Robert Johnson,+1 873-866-8771,New York,UK,ST071,Tablet,45,3346.495,23-11-2021,5684 8888 7887 8573,May-26
CPLUKY,Alice Smith,+1 657-683-1940,Chicago,USA,ST113,Laptop,127,,12-01-2020,5684 8888 7887 3871,Aug-24
NFCXII,Robert Johnson,+1 784-282-1389,Los Angeles,UK,ST125,Laptop,130,,26-01-2022,5684 8888 7887 5522,Aug-24
DRTYF,Test User1009,+1 657-683-1996,Mumbai,India,IN452,Phone,132,3543.13,26-01-2023,4230 8888 6654 8876,Dec-24
ZYLXIT,Alice Smith,+1 270-442-8446,Houston,USA,ST183,Laptop,23,3608.675,10-12-2021,5685 8888 7887 6066,Jun-25
KVZCLD,Robert Johnson,+1 753-733-7135,Houston,Australia,ST144,Laptop,137,3674.22,22-08-2020,5685 8888 7887 4076,Oct-28
LVZGLX,Robert Johnson,+1 873-866-8772,New York,UK,ST071,Tablet,139,3739.765,23-11-2021,5685 8888 7887 8573,May-26
CPLUKY,Alice Smith,+1 657-683-1941,Chicago,USA,ST113,Laptop,142,3805.31,12-01-2020,5685 8888 7887 3871,Aug-24
NFCXII,Robert Johnson,+1 784-282-1390,Los Angeles,UK,ST125,Laptop,144,3870.855,26-01-2022,5685 8888 7887 5522,Aug-24
DRTYF,Test User1010,+1 657-683-1997,Mumbai,India,IN453,Phone,147,3936.4,26-01-2023,4231 8888 6654 8876,Dec-24
ZYLXIT,Alice Smith,+1 270-442-8447,Houston,USA,ST183,Laptop,149,4001.945,10-12-2021,5686 8888 7887 6066,Jun-25
KVZCLD,Robert Johnson,+1 753-733-7136,Houston,Australia,ST144,Laptop,152,4067.49,22-08-2020,5686 8888 7887 4076,Oct-28
LVZGLX,Robert Johnson,+1 873-866-8773,New York,UK,ST071,Tablet,154,4133.035,23-11-2021,5686 8888 7887 8573,May-26
CPLUKY,Alice Smith,+1 657-683-1942,Chicago,USA,ST113,Laptop,157,4198.58,12-01-2020,5686 8888 7887 3871,Aug-24
NFCXII,Robert Johnson,+1 784-282-1391,Los Angeles,UK,ST125,Laptop,159,4264.125,26-01-2022,5686 8888 7887 5522,Aug-24
DRTYF,Test User1011,+1 657-683-1998,Mumbai,India,IN454,Phone,162,4329.67,26-01-2023,4232 8888 6654 8876,Dec-24
